taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
113653	species	Geoglobus ahangari	1	1	1	1	1	1.00	0.00	[1]
1649877	species	Pseudomonas sp. CCOS 191	1	7	7	7	7	7.00	0.00	[7]
1543721	species	Sedimenticola thiotaurini	1	2	2	2	2	2.00	0.00	[2]
44574	species	Nitrosomonas communis	1	1	1	1	1	1.00	0.00	[1]
1309411	species	Deinococcus soli Cha et al. 2016	1	3	3	3	3	3.00	0.00	[3]
1267766	species	Altererythrobacter atlanticus	1	2	2	2	2	2.00	0.00	[2]
230089	species	Photorhabdus thracensis	1	7	7	7	7	7.00	0.00	[7]
1522671	species	Dehalococcoides sp. UCH007	1	1	1	1	1	1.00	0.00	[1]
1113728	species	Alcanivorax sp. NBRC 101098	1	3	3	3	3	3.00	0.00	[3]
1620392	species	Spongiibacter sp. IMCC21906	1	2	2	2	2	2.00	0.00	[2]
444103	species	Streptomyces sp. CNQ-509	1	5	5	5	5	5.00	0.00	[5]
1604004	species	Halanaeroarchaeum sulfurireducens	2	1	1	1	1.0	1.00	0.00	[1, 1]
1620421	species	Hoeflea sp. IMCC20628	1	1	1	1	1	1.00	0.00	[1]
1437453	species	Streptomyces leeuwenhoekii	1	6	6	6	6	6.00	0.00	[6]
413882	species	[Polyangium] brachysporum	1	3	3	3	3	3.00	0.00	[3]
1307763	species	Kiritimatiella glycovorans	1	1	1	1	1	1.00	0.00	[1]
445709	species	Pandoraea thiooxydans	2	2	2	2	2.0	2.00	0.00	[2, 2]
86185	species	Pseudomonas lundensis	1	7	7	7	7	7.00	0.00	[7]
106634	species	Thioalkalivibrio versutus	1	1	1	1	1	1.00	0.00	[1]
571915	species	Corynebacterium mustelae	1	4	4	4	4	4.00	0.00	[4]
1050174	species	Corynebacterium epidermidicanis	1	4	4	4	4	4.00	0.00	[4]
136857	species	Corynebacterium testudinoris	1	4	4	4	4	4.00	0.00	[4]
1072256	species	Corynebacterium uterequi	1	5	5	5	5	5.00	0.00	[5]
34020	species	Candidatus Liberibacter africanus	1	3	3	3	3	3.00	0.00	[3]
1545728	species	Mycobacterium sp. EPa45	1	2	2	2	2	2.00	0.00	[2]
343	species	Xanthomonas translucens	5	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2]
1324352	species	Chryseobacterium gallinarum	1	6	6	6	6	6.00	0.00	[6]
1972431	species	Phytobacter ursingii	1	7	7	7	7	7.00	0.00	[7]
1650658	species	Actinobacteria bacterium IMCC26256	1	1	1	1	1	1.00	0.00	[1]
28026	species	Bifidobacterium pseudocatenulatum	2	5	6		5.5	5.50	0.50	[6, 5]
82985	species	Pragia fontium	2	7	7	7	7.0	7.00	0.00	[7, 7]
1330330	species	Kosmotoga pacifica	1	2	2	2	2	2.00	0.00	[2]
48	species	Archangium gephyra	1	3	3	3	3	3.00	0.00	[3]
1408281	species	Endomicrobium proavitum	1	1	1	1	1	1.00	0.00	[1]
543877	species	Altererythrobacter marensis	1	1	1	1	1	1.00	0.00	[1]
29388	species	Staphylococcus capitis	3	5	6	6	6	5.67	0.47	[6, 5, 6]
60550	species	Burkholderia pyrrocinia	2	6	6	6	6.0	6.00	0.00	[6, 6]
1348774	species	Croceicoccus naphthovorans	1	1	1	1	1	1.00	0.00	[1]
656179	species	Pandoraea faecigallinarum	1	4	4	4	4	4.00	0.00	[4]
488447	species	Burkholderia contaminans	4	5	6	6	6.0	5.75	0.43	[5, 6, 6, 6]
1114980	species	Spiroplasma atrichopogonis	1	1	1	1	1	1.00	0.00	[1]
315358	species	Spiroplasma eriocheiris	2	1	1	1	1.0	1.00	0.00	[1, 1]
1600	species	Lactobacillus acetotolerans	2	4	4	4	4.0	4.00	0.00	[4, 4]
158787	species	Bifidobacterium scardovii	1	3	3	3	3	3.00	0.00	[3]
78258	species	Parascardovia denticolens	1	2	2	2	2	2.00	0.00	[2]
78259	species	Scardovia inopinata	1	2	2	2	2	2.00	0.00	[2]
84022	species	Clostridium aceticum	1	6	6	6	6	6.00	0.00	[6]
330734	species	Marinobacter psychrophilus	1	3	3	3	3	3.00	0.00	[3]
42444	species	Marinovum algicola	1	2	2	2	2	2.00	0.00	[2]
263819	species	Yersinia aleksiciae	1	7	7	7	7	7.00	0.00	[7]
1479	species	Bacillus smithii	1	11	11	11	11	11.00	0.00	[11]
320787	species	Cyclobacterium amurskyense	1	4	4	4	4	4.00	0.00	[4]
637971	species	Lactobacillus koreensis	1	6	6	6	6	6.00	0.00	[6]
1007676	species	Lactobacillus ginsenosidimutans	1	3	3	3	3	3.00	0.00	[3]
1134435	species	Thauera humireducens	1	4	4	4	4	4.00	0.00	[4]
2054173	species	Candidatus Coxiella mudrowiae	1	1	1	1	1	1.00	0.00	[1]
1648404	species	Erythrobacter atlanticus	1	1	1	1	1	1.00	0.00	[1]
1379910	species	Rufibacter sp. DG31D	1	2	2	2	2	2.00	0.00	[2]
103855	species	Bordetella hinzii	12	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
13690	species	Sphingobium yanoikuyae	3	4	4	4	4	4.00	0.00	[4, 4, 4]
29410	species	Synechococcus sp. WH 8103	1	2	2	2	2	2.00	0.00	[2]
1662285	species	Methylophilus sp. TWE2	1	2	2	2	2	2.00	0.00	[2]
1302659	species	Planococcus versutus	1	9	9	9	9	9.00	0.00	[9]
1650654	species	Edwardsiella sp. LADL05-105	1	9	9	9	9	9.00	0.00	[9]
200450	species	Pseudomonas trivialis	1	5	5	5	5	5.00	0.00	[5]
1660083	species	'Leptospirillum sp. Group II ''CF-1'''	1	2	2	2	2	2.00	0.00	[2]
134601	species	Mycolicibacterium goodii	1	2	2	2	2	2.00	0.00	[2]
198467	species	Anoxybacillus gonensis	1	8	8	8	8	8.00	0.00	[8]
2026	species	Thermoactinomyces vulgaris	2	7	7	7	7.0	7.00	0.00	[7, 7]
1579979	species	Wenzhouxiangella marina	1	1	1	1	1	1.00	0.00	[1]
1458307	species	Octadecabacter temperatus	1	1	1	1	1	1.00	0.00	[1]
1295	species	Staphylococcus schleiferi	6	5	6		5.5	5.50	0.50	[6, 5, 6, 6, 5, 5]
1227555	species	Pyrobaculum sp. WP30	1	1	1	1	1	1.00	0.00	[1]
52	species	Chondromyces crocatus	1	3	3	3	3	3.00	0.00	[3]
143393	species	[Eubacterium] sulci	1	2	2	2	2	2.00	0.00	[2]
712411	species	Olsenella sp. oral taxon 807	1	2	2	2	2	2.00	0.00	[2]
1658671	species	Arsenicicoccus sp. oral taxon 190	1	2	2	2	2	2.00	0.00	[2]
712538	species	Selenomonas sp. oral taxon 478	1	4	4	4	4	4.00	0.00	[4]
824	species	Campylobacter gracilis	1	3	3	3	3	3.00	0.00	[3]
827	species	Campylobacter ureolyticus	1	3	3	3	3	3.00	0.00	[3]
198107	species	Azoarcus sp. CIB	1	4	4	4	4	4.00	0.00	[4]
571913	species	Luteipulveratus mongoliensis	1	2	2	2	2	2.00	0.00	[2]
1678028	species	Massilia sp. NR 4-1	1	7	7	7	7	7.00	0.00	[7]
589436	species	Prevotella fusca	1	4	4	4	4	4.00	0.00	[4]
52773	species	Schaalia meyeri	1	3	3	3	3	3.00	0.00	[3]
1658672	species	Ottowia sp. oral taxon 894	1	3	3	3	3	3.00	0.00	[3]
216946	species	Spiroplasma turonicum	2	1	1	1	1.0	1.00	0.00	[1, 1]
1391653	species	Vulgatibacter incomptus	1	3	3	3	3	3.00	0.00	[3]
1391654	species	Labilithrix luteola	1	4	4	4	4	4.00	0.00	[4]
638619	species	Bifidobacterium actinocoloniiforme	1	2	2	2	2	2.00	0.00	[2]
513223	species	Microcystis panniformis	1	2	2	2	2	2.00	0.00	[2]
1696072	species	Microbacterium sp. CGR1	1	2	2	2	2	2.00	0.00	[2]
1671721	species	Marinobacter sp. CP1	1	3	3	3	3	3.00	0.00	[3]
216942	species	Spiroplasma litorale	1	1	1	1	1	1.00	0.00	[1]
1697053	species	Oblitimonas alkaliphila	6	3	5	5	4.5	4.33	0.75	[5, 3, 5, 4, 4, 5]
53345	species	Enterococcus durans	3	6	6	6	6	6.00	0.00	[6, 6, 6]
1889	species	Streptomyces ambofaciens	2	6	6	6	6.0	6.00	0.00	[6, 6]
341045	species	Herbaspirillum hiltneri	1	2	2	2	2	2.00	0.00	[2]
1702325	species	Chelatococcus sp. CO-6	1	2	2	2	2	2.00	0.00	[2]
59893	species	Paenibacillus peoriae	1	13	13	13	13	13.00	0.00	[13]
42253	species	Nitrospira moscoviensis	1	1	1	1	1	1.00	0.00	[1]
712357	species	Leptotrichia sp. oral taxon 212	1	4	4	4	4	4.00	0.00	[4]
1422	species	Geobacillus stearothermophilus	2	8	11		9.5	9.50	1.50	[8, 11]
47834	species	Spiroplasma kunkelii	1	1	1	1	1	1.00	0.00	[1]
1231000	species	Corynebacterium lactis	1	3	3	3	3	3.00	0.00	[3]
71999	species	Kocuria palustris	1	3	3	3	3	3.00	0.00	[3]
954	species	Francisella persica	2	2	3		2.5	2.50	0.50	[2, 3]
535744	species	Cronobacter universalis	1	7	7	7	7	7.00	0.00	[7]
413501	species	Cronobacter muytjensii	1	7	7	7	7	7.00	0.00	[7]
413497	species	Cronobacter dublinensis	1	7	7	7	7	7.00	0.00	[7]
1163710	species	Cronobacter condimenti	1	7	7	7	7	7.00	0.00	[7]
1647413	species	Anabaena sp. WA102	1	5	5	5	5	5.00	0.00	[5]
1408191	species	Corynebacterium deserti	1	6	6	6	6	6.00	0.00	[6]
292913	species	Sphingopyxis sp. 113P3	1	1	1	1	1	1.00	0.00	[1]
1603606	species	Desulfuromonas soudanensis	1	2	2	2	2	2.00	0.00	[2]
38300	species	Streptomyces pristinaespiralis	1	6	6	6	6	6.00	0.00	[6]
1649184	species	Streptomyces sp. CFMR 7	1	6	6	6	6	6.00	0.00	[6]
1646498	species	Acinetobacter sp. TTH0-4	1	7	7	7	7	7.00	0.00	[7]
1705617	species	Capnocytophaga sp. oral taxon 323	1	4	4	4	4	4.00	0.00	[4]
712122	species	Actinomyces sp. oral taxon 414	1	3	3	3	3	3.00	0.00	[3]
1463165	species	Klebsiella quasipneumoniae	18	8	8	8	8.0	8.00	0.00	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
1385663	species	Hymenobacter sp. DG25A	1	2	2	2	2	2.00	0.00	[2]
1639133	species	Citrobacter portucalensis	4	8	8	8	8.0	8.00	0.00	[8, 8, 8, 8]
362837	species	Spiroplasma cantharicola	1	1	1	1	1	1.00	0.00	[1]
1704044	species	Arthrobacter sp. ERGS1:01	1	6	6	6	6	6.00	0.00	[6]
1427364	species	Candidatus Thioglobus singularis	1	1	1	1	1	1.00	0.00	[1]
1318743	species	Bartonella ancashensis	1	2	2	2	2	2.00	0.00	[2]
82541	species	Cupriavidus gilardii	1	4	4	4	4	4.00	0.00	[4]
361183	species	Altererythrobacter epoxidivorans	1	1	1	1	1	1.00	0.00	[1]
1528099	species	Lawsonella clevelandensis	2	2	2	2	2.0	2.00	0.00	[2, 2]
1705394	species	Candidatus Thioglobus autotrophicus	1	1	1	1	1	1.00	0.00	[1]
1096868	species	Pseudonocardia sp. EC080625-04	1	4	4	4	4	4.00	0.00	[4]
1788301	species	Pseudomonas versuta	1	8	8	8	8	8.00	0.00	[8]
445576	species	Pseudonocardia sp. AL041005-10	1	4	4	4	4	4.00	0.00	[4]
1641402	species	Pseudonocardia sp. HH130629-09	1	3	3	3	3	3.00	0.00	[3]
45610	species	Psychrobacter urativorans	1	6	6	6	6	6.00	0.00	[6]
1933880	species	Glutamicibacter halophytocola	2	6	6	6	6.0	6.00	0.00	[6, 6]
860235	species	Kibdelosporangium phytohabitans	1	3	3	3	3	3.00	0.00	[3]
1715806	species	Methanosarcina flavescens	1	3	3	3	3	3.00	0.00	[3]
907	species	Megasphaera elsdenii	3	7	7	7	7	7.00	0.00	[7, 7, 7]
1634516	species	Citromicrobium sp. JL477	1	1	1	1	1	1.00	0.00	[1]
288004	species	Beggiatoa leptomitoformis	2	2	2	2	2.0	2.00	0.00	[2, 2]
528244	species	Azospirillum thiophilum	1	9	9	9	9	9.00	0.00	[9]
1609966	species	Confluentimicrobium sp. EMB200-NS6	1	2	2	2	2	2.00	0.00	[2]
1136941	species	Gordonia phthalatica	1	4	4	4	4	4.00	0.00	[4]
1324350	species	Acinetobacter equi	1	7	7	7	7	7.00	0.00	[7]
33050	species	Sphingopyxis macrogoltabida	3	1	1	1	1	1.00	0.00	[1, 1, 1]
1766	species	Mycolicibacterium fortuitum	1	2	2	2	2	2.00	0.00	[2]
1472767	species	Lentibacillus amyloliquefaciens	1	6	6	6	6	6.00	0.00	[6]
137591	species	Weissella cibaria	9	8	11	9	9	9.11	0.74	[8, 9, 11, 9, 9, 9, 9, 9, 9]
1397108	species	Celeribacter marinus	1	2	2	2	2	2.00	0.00	[2]
512763	species	Rufibacter tibetensis	1	4	4	4	4	4.00	0.00	[4]
1736674	species	Algibacter alginicilyticus	1	2	2	2	2	2.00	0.00	[2]
1532555	species	Brevundimonas sp. DS20	1	2	2	2	2	2.00	0.00	[2]
1714373	species	Microbacterium sp. No. 7	1	2	2	2	2	2.00	0.00	[2]
128780	species	Stenotrophomonas acidaminiphila	2	3	3	3	3.0	3.00	0.00	[3, 3]
148814	species	Lactobacillus kunkeei	1	5	5	5	5	5.00	0.00	[5]
1704307	species	Candidatus Xiphinematobacter sp. Idaho Grape	1	1	1	1	1	1.00	0.00	[1]
246787	species	Bacteroides cellulosilyticus	1	4	4	4	4	4.00	0.00	[4]
271	species	Thermus aquaticus	1	2	2	2	2	2.00	0.00	[2]
1079	species	Blastochloris viridis	3	3	3	3	3	3.00	0.00	[3, 3, 3]
1736675	species	Devosia sp. A16	1	2	2	2	2	2.00	0.00	[2]
1678128	species	Limnohabitans sp. 63ED37-2	1	3	3	3	3	3.00	0.00	[3]
1678129	species	Limnohabitans sp. 103DPR2	1	2	2	2	2	2.00	0.00	[2]
1707785	species	Massilia sp. WG5	1	8	8	8	8	8.00	0.00	[8]
1273541	species	Pyrodictium delaneyi	1	1	1	1	1	1.00	0.00	[1]
1727164	species	Pedobacter sp. PACM 27299	1	7	7	7	7	7.00	0.00	[7]
69395	species	Caulobacter henricii	1	2	2	2	2	2.00	0.00	[2]
680279	species	Agarivorans gilvus	1	7	7	7	7	7.00	0.00	[7]
1688404	species	Pseudonocardia sp. EC080610-09	1	4	4	4	4	4.00	0.00	[4]
1096856	species	Pseudonocardia sp. EC080619-01	1	4	4	4	4	4.00	0.00	[4]
1616788	species	Paenibacillus bovis	1	9	9	9	9	9.00	0.00	[9]
1453352	species	Sediminicola sp. YIK13	1	3	3	3	3	3.00	0.00	[3]
1476901	species	Nonlabens sp. MIC269	1	3	3	3	3	3.00	0.00	[3]
1178482	species	Halomonas huangheensis	1	4	4	4	4	4.00	0.00	[4]
206662	species	Streptomyces sp. FR-008	1	7	7	7	7	7.00	0.00	[7]
246432	species	Staphylococcus equorum	3	7	7	7	7	7.00	0.00	[7, 7, 7]
233316	species	Alteromonas stellipolaris	4	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5]
1450761	species	Aneurinibacillus sp. XH2	1	11	11	11	11	11.00	0.00	[11]
84531	species	Lysobacter antibioticus	2	2	3		2.5	2.50	0.50	[3, 2]
1349819	species	Aureimonas sp. AU20	1	1	1	1	1	1.00	0.00	[1]
435897	species	Lysobacter capsici	2	2	2	2	2.0	2.00	0.00	[2, 2]
262324	species	Lysobacter gummosus	1	2	2	2	2	2.00	0.00	[2]
985762	species	Staphylococcus agnetis	2	5	6		5.5	5.50	0.50	[5, 6]
1307839	species	Salinivirga cyanobacteriivorans	1	3	3	3	3	3.00	0.00	[3]
60520	species	Lactobacillus paraplantarum	2	1	5		3.0	3.00	2.00	[1, 5]
58049	species	Colwellia sp. MT41	1	9	9	9	9	9.00	0.00	[9]
161398	species	Pseudoalteromonas phenolica	1	9	9	9	9	9.00	0.00	[9]
1249552	species	Pseudohongiella spirulinae	1	2	2	2	2	2.00	0.00	[2]
76123	species	Prevotella enoeca	1	3	3	3	3	3.00	0.00	[3]
1749259	species	Marinobacter sp. LQ44	1	3	3	3	3	3.00	0.00	[3]
867076	species	Paenibacillus sp. IHB B 3084	1	9	9	9	9	9.00	0.00	[9]
652	species	Aeromonas schubertii	2	9	10		9.5	9.50	0.50	[9, 10]
1297617	species	Intestinimonas butyriciproducens	2	2	2	2	2.0	2.00	0.00	[2, 2]
1652545	species	Arthrobacter sp. YC-RL1	1	6	6	6	6	6.00	0.00	[6]
1583098	species	Fusobacterium hwasookii	3	4	5	5	5	4.67	0.47	[5, 4, 5]
44577	species	Nitrosomonas ureae	1	1	1	1	1	1.00	0.00	[1]
152297	species	Pseudoalteromonas issachenkonii	2	8	8	8	8.0	8.00	0.00	[8, 8]
1492	species	Clostridium butyricum	7	8	12	12	11	10.71	1.48	[11, 9, 8, 12, 11, 12, 12]
1332080	species	Sphingobium baderi	1	2	2	2	2	2.00	0.00	[2]
1721091	species	Chryseobacterium sp. IHB B 17019	1	6	6	6	6	6.00	0.00	[6]
1578165	species	Mycobacteroides saopaulense	1	1	1	1	1	1.00	0.00	[1]
1715989	species	Candidatus Nitrospira inopinata	1	1	1	1	1	1.00	0.00	[1]
76936	species	Helicobacter typhlonius	1	2	2	2	2	2.00	0.00	[2]
162209	species	Paenibacillus naphthalenovorans	1	11	11	11	11	11.00	0.00	[11]
1695218	species	Paenibacillus sp. 32O-W	1	6	6	6	6	6.00	0.00	[6]
166935	species	Pseudoalteromonas translucida	1	9	9	9	9	9.00	0.00	[9]
93219	species	Pandoraea norimbergensis	1	4	4	4	4	4.00	0.00	[4]
200991	species	Planococcus rifietoensis	1	9	9	9	9	9.00	0.00	[9]
1374	species	Planococcus kocurii	1	9	9	9	9	9.00	0.00	[9]
1526571	species	Lacimicrobium alkaliphilum	1	4	4	4	4	4.00	0.00	[4]
1761891	species	Pseudoalteromonas sp. 13-15	1	9	9	9	9	9.00	0.00	[9]
1768242	species	Paucibacter sp. KCTC 42545	1	6	6	6	6	6.00	0.00	[6]
230361	species	Methanobrevibacter millerae	1	2	2	2	2	2.00	0.00	[2]
76832	species	Myroides odoratimimus	2	9	9	9	9.0	9.00	0.00	[9, 9]
54259	species	Ignicoccus islandicus	1	1	1	1	1	1.00	0.00	[1]
446860	species	Kocuria flava	1	3	3	3	3	3.00	0.00	[3]
43658	species	Pseudoalteromonas rubra	1	10	10	10	10	10.00	0.00	[10]
669041	species	Tenacibaculum dicentrarchi	1	10	10	10	10	10.00	0.00	[10]
76731	species	Roseateles depolymerans	1	4	4	4	4	4.00	0.00	[4]
80842	species	Herbaspirillum rubrisubalbicans	2	3	3	3	3.0	3.00	0.00	[3, 3]
1564681	species	Carnobacterium sp. CP1	1	8	8	8	8	8.00	0.00	[8]
1749074	species	Mycoplasma sp. (ex Biomphalaria glabrata)	1	1	1	1	1	1.00	0.00	[1]
121719	species	Pannonibacter phragmitetus	2	3	3	3	3.0	3.00	0.00	[3, 3]
1725411	species	Streptomyces sp. CdTB01	1	6	6	6	6	6.00	0.00	[6]
121292	species	Pseudarthrobacter sulfonivorans	1	5	5	5	5	5.00	0.00	[5]
1674923	species	Thermococcus sp. 2319x1	1	1	1	1	1	1.00	0.00	[1]
40214	species	Acinetobacter johnsonii	4	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7]
1407499	species	Halobacterium hubeiense	1	1	1	1	1	1.00	0.00	[1]
446692	species	Acetobacter senegalensis	1	5	5	5	5	5.00	0.00	[5]
389348	species	Candidatus Protochlamydia naegleriophila	1	4	4	4	4	4.00	0.00	[4]
1411621	species	Hymenobacter sedentarius	1	3	3	3	3	3.00	0.00	[3]
1768108	species	Deinococcus actinosclerus	2	3	4		3.5	3.50	0.50	[3, 4]
2041	species	Aeromicrobium erythreum	1	2	2	2	2	2.00	0.00	[2]
1283291	species	Pseudomonas sp. URMO17WK12:I11	2	6	7		6.5	6.50	0.50	[6, 7]
1663591	species	Magnetospirillum sp. XM-1	1	2	2	2	2	2.00	0.00	[2]
367477	species	Microbacterium sp. XT11	1	2	2	2	2	2.00	0.00	[2]
1740162	species	Burkholderia sp. Bp5365	1	4	4	4	4	4.00	0.00	[4]
32002	species	Achromobacter denitrificans	3	3	4	4	4	3.67	0.47	[3, 4, 4]
1619313	species	Erwinia gerundensis	1	7	7	7	7	7.00	0.00	[7]
51665	species	Aerococcus urinaeequi	2	5	6		5.5	5.50	0.50	[6, 5]
47885	species	Pseudomonas oryzihabitans	2	5	5	5	5.0	5.00	0.00	[5, 5]
83655	species	Leclercia adecarboxylata	8	8	8	8	8.0	8.00	0.00	[8, 8, 8, 8, 8, 8, 8, 8]
1779382	species	Rhodothermaceae bacterium RA	1	1	1	1	1	1.00	0.00	[1]
374982	species	Synechococcus sp. PCC 73109	1	2	2	2	2	2.00	0.00	[2]
1637853	species	Burkholderia sp. NRF60-BP8	1	6	6	6	6	6.00	0.00	[6]
1385592	species	Burkholderia sp. BDU8	1	4	4	4	4	4.00	0.00	[4]
1385591	species	Burkholderia sp. BDU6	1	4	4	4	4	4.00	0.00	[4]
1637862	species	Burkholderia sp. LA-2-3-30-S1-D2	1	6	6	6	6	6.00	0.00	[6]
1637837	species	Burkholderia sp. MSMB0266	1	4	4	4	4	4.00	0.00	[4]
1637841	species	Burkholderia sp. MSMB0852	1	4	4	4	4	4.00	0.00	[4]
1637869	species	Burkholderia sp. MSMB0856	1	6	6	6	6	6.00	0.00	[6]
1637831	species	Burkholderia sp. MSMB617WGS	1	4	4	4	4	4.00	0.00	[4]
634113	species	Candidatus Arsenophonus lipoptenae	1	1	1	1	1	1.00	0.00	[1]
1750719	species	Kurthia sp. 11kri321	1	9	9	9	9	9.00	0.00	[9]
456163	species	Thermus parvatiensis	1	2	2	2	2	2.00	0.00	[2]
68214	species	Streptomyces griseochromogenes	1	6	6	6	6	6.00	0.00	[6]
412690	species	Microterricola viridarii	1	3	3	3	3	3.00	0.00	[3]
925818	species	Methylobacterium sp. AMS5	1	5	5	5	5	5.00	0.00	[5]
87541	species	Aerococcus christensenii	1	4	4	4	4	4.00	0.00	[4]
119206	species	Aerococcus sanguinicola	1	4	4	4	4	4.00	0.00	[4]
128944	species	Aerococcus urinaehominis	1	4	4	4	4	4.00	0.00	[4]
296	species	Pseudomonas fragi	2	5	8		6.5	6.50	1.50	[5, 8]
1377	species	Aerococcus viridans	1	7	7	7	7	7.00	0.00	[7]
1622118	species	Lutibacter profundi	1	2	2	2	2	2.00	0.00	[2]
1712675	species	Turicibacter sp. H121	1	12	12	12	12	12.00	0.00	[12]
1555112	species	Limnochorda pilosa	1	2	2	2	2	2.00	0.00	[2]
1514105	species	Erysipelothrix larvae	1	4	4	4	4	4.00	0.00	[4]
507626	species	Halomonas chromatireducens	1	1	1	1	1	1.00	0.00	[1]
412593	species	Thermosulfidibacter takaii	1	1	1	1	1	1.00	0.00	[1]
113267	species	Bathymodiolus septemdierum thioautotrophic gill symbiont	1	1	1	1	1	1.00	0.00	[1]
1500686	species	Pseudomonas sp. Os17	1	6	6	6	6	6.00	0.00	[6]
1500687	species	Pseudomonas sp. St29	1	6	6	6	6	6.00	0.00	[6]
1435069	species	Vibrio tritonius	1	11	11	11	11	11.00	0.00	[11]
91915	species	Asaia bogorensis	1	5	5	5	5	5.00	0.00	[5]
270351	species	Methylobacterium aquaticum	1	11	11	11	11	11.00	0.00	[11]
1581011	species	Sulfurospirillum sp. UCH001	1	4	4	4	4	4.00	0.00	[4]
366522	species	Sulfurospirillum cavolei	1	3	3	3	3	3.00	0.00	[3]
35806	species	Rhodovulum sulfidophilum	3	3	3	3	3	3.00	0.00	[3, 3, 3]
1615909	species	Geminocystis sp. NIES-3708	1	3	3	3	3	3.00	0.00	[3]
1617448	species	Geminocystis sp. NIES-3709	1	3	3	3	3	3.00	0.00	[3]
1653476	species	Caldimicrobium thiodismutans	1	1	1	1	1	1.00	0.00	[1]
1751286	species	Nostoc sp. NIES-3756	1	4	4	4	4	4.00	0.00	[4]
1080068	species	Leptolyngbya sp. O-77	1	2	2	2	2	2.00	0.00	[2]
1752064	species	Leptolyngbya sp. NIES-3755	1	3	3	3	3	3.00	0.00	[3]
1752063	species	Fischerella sp. NIES-3754	1	4	4	4	4	4.00	0.00	[4]
1609968	species	Methanobrevibacter sp. YE315	1	2	2	2	2	2.00	0.00	[2]
45243	species	Capnocytophaga haemolytica	2	4	4	4	4.0	4.00	0.00	[4, 4]
111015	species	Actinomyces radicidentis	1	3	3	3	3	3.00	0.00	[3]
44742	species	Desulfovibrio fairfieldensis	1	3	3	3	3	3.00	0.00	[3]
132132	species	Desulfomicrobium orale	1	2	2	2	2	2.00	0.00	[2]
1785996	species	Leptotrichia sp. oral taxon 847	1	5	5	5	5	5.00	0.00	[5]
712633	species	Streptococcus sp. oral taxon 431	1	4	4	4	4	4.00	0.00	[4]
1774743	species	Bacillus sp. SDLI1	1	9	9	9	9	9.00	0.00	[9]
1785995	species	Gemella sp. oral taxon 928	1	4	4	4	4	4.00	0.00	[4]
544580	species	Actinomyces oris	1	3	3	3	3	3.00	0.00	[3]
34062	species	Moraxella osloensis	7	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4, 4, 4]
713030	species	Selenomonas sp. oral taxon 136	1	4	4	4	4	4.00	0.00	[4]
1795043	species	Burkholderia sp. PAMC 26561	1	4	4	4	4	4.00	0.00	[4]
673	species	Grimontia hollisae	1	9	9	9	9	9.00	0.00	[9]
676	species	Vibrio fluvialis	3	10	12	10	10	10.67	0.94	[10, 12, 10]
674	species	Vibrio mimicus	2	9	10		9.5	9.50	0.50	[9, 10]
1353	species	Enterococcus gallinarum	1	5	5	5	5	5.00	0.00	[5]
1795053	species	Microbacterium sp. PAMC 28756	1	2	2	2	2	2.00	0.00	[2]
267128	species	Sphingopyxis granuli	1	1	1	1	1	1.00	0.00	[1]
1286	species	Staphylococcus simulans	6	6	6	6	6.0	6.00	0.00	[6, 6, 6, 6, 6, 6]
1702170	species	Citrobacter sp. FDAARGOS_156	1	8	8	8	8	8.00	0.00	[8]
546367	species	Hafnia paralvei	1	8	8	8	8	8.00	0.00	[8]
1495144	species	methanogenic archaeon ISO4-H5	1	2	2	2	2	2.00	0.00	[2]
28446	species	Anaerotignum propionicum	1	7	7	7	7	7.00	0.00	[7]
1705	species	Corynebacterium stationis	3	5	5	5	5	5.00	0.00	[5, 5, 5]
1777491	species	Alteromonas sp. Mac1	1	7	7	7	7	7.00	0.00	[7]
287094	species	Alteromonas addita	1	5	5	5	5	5.00	0.00	[5]
1793721	species	Stenotrophomonas sp. KCTC 12332	1	4	4	4	4	4.00	0.00	[4]
1792307	species	Bosea sp. PAMC 26642	1	1	1	1	1	1.00	0.00	[1]
1484118	species	Hymenobacter sp. PAMC 26628	1	3	3	3	3	3.00	0.00	[3]
1716143	species	Pseudodesulfovibrio indicus	1	1	1	1	1	1.00	0.00	[1]
294671	species	Methanobrevibacter olleyae	1	2	2	2	2	2.00	0.00	[2]
1315974	species	Sphingobium sp. TKS	1	3	3	3	3	3.00	0.00	[3]
407020	species	Sphingobium sp. MI1205	1	2	2	2	2	2.00	0.00	[2]
1702221	species	Faecalibaculum rodentium	1	14	14	14	14	14.00	0.00	[14]
61652	species	Serratia rubidaea	5	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7]
1795631	species	Variovorax sp. PAMC 28711	1	2	2	2	2	2.00	0.00	[2]
37927	species	Sinomonas atrocyanea	1	4	4	4	4	4.00	0.00	[4]
1795630	species	Frondihabitans sp. PAMC 28766	1	2	2	2	2	2.00	0.00	[2]
1795874	species	Burkholderia sp. PAMC 28687	1	4	4	4	4	4.00	0.00	[4]
